               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  85,            0.061926,            0.054405,            0.072478,             0.79252,             0.13485,             0.13958,            0.063937,             0.04721,            0.068601,            0.077885,           0.0098337,           0.0098337,           0.0098337
                  86,            0.064528,            0.061459,            0.073898,             0.78802,             0.15937,             0.11444,            0.053539,            0.051696,            0.069084,            0.077986,           0.0098317,           0.0098317,           0.0098317
                  87,            0.061694,            0.054996,            0.073717,             0.79002,              0.1095,             0.11608,             0.04821,            0.055769,            0.072546,            0.079862,           0.0098297,           0.0098297,           0.0098297
                  88,            0.057814,            0.056482,            0.073893,             0.88038,             0.10981,             0.11483,            0.058099,            0.048826,            0.080755,            0.078743,           0.0098277,           0.0098277,           0.0098277
                  89,            0.057049,            0.060433,            0.072709,             0.68247,            0.089606,            0.081269,            0.045589,            0.052944,            0.088813,            0.078143,           0.0098258,           0.0098258,           0.0098258
                  90,            0.059957,            0.048337,            0.073071,             0.79351,             0.14934,             0.12571,            0.049161,             0.05435,            0.074588,            0.077261,           0.0098238,           0.0098238,           0.0098238
                  91,            0.062902,            0.054617,            0.072871,             0.91659,            0.085137,             0.14723,            0.080469,            0.058449,            0.067615,            0.081782,           0.0098218,           0.0098218,           0.0098218
                  92,            0.060584,            0.056068,            0.071782,             0.89893,            0.095043,             0.12485,            0.070307,            0.049357,            0.068982,            0.077485,           0.0098198,           0.0098198,           0.0098198
                  93,            0.059503,            0.052398,            0.075205,             0.77042,             0.13825,              0.1461,            0.070927,            0.049565,            0.074707,            0.076899,           0.0098178,           0.0098178,           0.0098178
                  94,            0.056326,            0.054512,            0.070818,             0.65049,            0.059147,            0.056988,            0.028633,            0.058282,            0.099379,            0.077905,           0.0098159,           0.0098159,           0.0098159
                  95,            0.058621,            0.063613,            0.069344,             0.85023,            0.094159,             0.14321,            0.070884,            0.045959,             0.06783,            0.076526,           0.0098139,           0.0098139,           0.0098139
                  96,            0.059014,            0.054016,            0.073159,             0.84614,             0.13823,             0.14338,            0.065691,            0.051417,             0.06999,            0.076553,           0.0098119,           0.0098119,           0.0098119
                  97,            0.059177,            0.054119,            0.071463,             0.79588,             0.13079,             0.11866,            0.065046,            0.049224,            0.069012,            0.077334,           0.0098099,           0.0098099,           0.0098099
                  98,            0.057839,            0.054055,            0.070657,             0.79024,             0.11526,             0.13033,            0.064677,            0.049885,            0.066797,            0.076656,           0.0098079,           0.0098079,           0.0098079
                  99,            0.056934,            0.056647,            0.073018,             0.84411,             0.11072,             0.13547,            0.055738,            0.049324,            0.065626,            0.076519,            0.009806,            0.009806,            0.009806
                 100,            0.058431,             0.04947,            0.071915,             0.86243,            0.074179,            0.097608,            0.045286,            0.050898,             0.08908,            0.077557,            0.009804,            0.009804,            0.009804
                 101,            0.057256,            0.054956,            0.070392,             0.77383,             0.12686,             0.15155,            0.072206,            0.055068,            0.066989,             0.08158,            0.009802,            0.009802,            0.009802
                 102,             0.06014,            0.056687,            0.072943,             0.79692,             0.15047,             0.15042,            0.076959,            0.050627,            0.085457,            0.077049,              0.0098,              0.0098,              0.0098
                 103,            0.056475,            0.055771,             0.07144,             0.79624,             0.13553,             0.13714,            0.058255,            0.055223,            0.067553,            0.081306,            0.009798,            0.009798,            0.009798
                 104,             0.05511,            0.056681,            0.068537,             0.90563,            0.091904,             0.14734,            0.066448,            0.048224,            0.068619,            0.075465,           0.0097961,           0.0097961,           0.0097961
                 105,            0.055318,            0.051872,            0.070263,             0.75857,             0.18071,             0.16265,            0.086158,            0.044087,            0.066013,            0.074814,           0.0097941,           0.0097941,           0.0097941
                 106,            0.055192,            0.055633,            0.069902,             0.78267,             0.13886,              0.1717,            0.078118,            0.044379,              0.0622,            0.075584,           0.0097921,           0.0097921,           0.0097921
                 107,            0.057968,            0.052399,            0.071493,             0.83844,             0.12201,             0.13038,            0.059381,            0.049932,            0.061386,            0.074849,           0.0097901,           0.0097901,           0.0097901
                 108,            0.058982,            0.046182,            0.071412,             0.87764,            0.099657,             0.17235,            0.075308,            0.047589,            0.072528,            0.075185,           0.0097881,           0.0097881,           0.0097881
                 109,            0.057307,            0.053652,             0.07121,             0.88833,             0.11371,             0.18106,            0.094281,            0.046873,            0.070156,            0.074538,           0.0097862,           0.0097862,           0.0097862
                 110,            0.053939,            0.047751,            0.073705,             0.86314,              0.1047,             0.13001,            0.060325,            0.049604,             0.07336,            0.075824,           0.0097842,           0.0097842,           0.0097842
                 111,             0.05625,            0.048617,             0.06962,             0.87145,              0.1179,             0.13036,             0.06082,            0.049568,             0.07728,            0.075231,           0.0097822,           0.0097822,           0.0097822
                 112,            0.055483,             0.05003,            0.068631,             0.79315,             0.19758,             0.20073,             0.11187,             0.04547,             0.06205,             0.07425,           0.0097802,           0.0097802,           0.0097802
                 113,            0.056247,            0.049787,            0.069288,             0.83284,             0.13274,             0.18463,             0.08726,            0.048713,            0.063523,            0.074526,           0.0097782,           0.0097782,           0.0097782
                 114,            0.056432,            0.049551,            0.068954,             0.82032,              0.1713,             0.19521,             0.09789,            0.051788,            0.066778,            0.075437,           0.0097763,           0.0097763,           0.0097763
                 115,            0.052098,            0.053725,            0.067245,             0.76382,              0.2028,             0.15079,            0.080686,            0.045147,            0.067599,            0.074432,           0.0097743,           0.0097743,           0.0097743
                 116,            0.052478,            0.049774,            0.068116,             0.88674,             0.13242,              0.1581,            0.082488,            0.047934,            0.070248,            0.075645,           0.0097723,           0.0097723,           0.0097723
                 117,            0.052354,            0.047819,            0.063331,             0.81027,              0.1811,             0.17122,            0.084192,            0.043438,              0.0607,            0.073328,           0.0097703,           0.0097703,           0.0097703
                 118,            0.053851,            0.047811,            0.068105,             0.77276,             0.22285,             0.20398,             0.10259,            0.046069,            0.061597,            0.072842,           0.0097683,           0.0097683,           0.0097683
                 119,            0.054807,            0.043813,            0.069841,             0.73917,             0.23689,             0.21889,              0.1242,            0.046833,            0.059476,            0.073302,           0.0097664,           0.0097664,           0.0097664
                 120,            0.053721,            0.048722,              0.0681,             0.77401,             0.20605,             0.19544,             0.10793,            0.047653,            0.059745,            0.072583,           0.0097644,           0.0097644,           0.0097644
                 121,            0.052455,            0.048915,            0.069108,             0.76531,             0.24159,             0.21296,             0.11288,            0.045878,            0.059414,            0.072536,           0.0097624,           0.0097624,           0.0097624
                 122,            0.054186,            0.048349,            0.069673,             0.79409,             0.26957,             0.24579,             0.14145,            0.042252,            0.058868,            0.072616,           0.0097604,           0.0097604,           0.0097604
                 123,            0.055452,            0.049338,            0.067906,             0.76292,             0.23243,             0.23382,             0.11569,            0.043242,            0.067464,            0.073132,           0.0097584,           0.0097584,           0.0097584
